1,1,2,3,4
2,3,4,5,6
3,5,6,7,8
4,7,8,9,10
5,9,10,11,12
6,11,12,13,14
7,13,14,15,16
8,15,16,17,18
9,17,18,19,20
10,71,72,73,144
11,73,144,74,143
12,74,143,75,142
13,75,142,76,141
14,76,141,77,140
15,77,140,78,139
16,78,139,79,138
17,79,138,80,137
18,80,137,21,22
19,69,70,88,145
20,88,145,87,146
21,87,146,86,147
22,86,147,85,148
23,85,148,84,149
24,84,149,83,150
25,83,150,82,151
26,82,151,81,152
27,81,152,23,24
28,67,68,89,160
29,89,160,90,159
30,90,159,91,158
31,91,158,92,157
32,92,157,93,156
33,93,156,94,155
34,94,155,95,154
35,95,154,96,153
36,96,153,25,26
37,65,66,104,161
38,104,161,103,162
39,103,162,102,163
40,102,163,101,164
41,101,164,100,165
42,100,165,99,166
43,99,166,98,167
44,98,167,97,168
45,97,168,27,28
46,63,64,105,176
47,105,176,106,175
48,106,175,107,174
49,107,174,108,173
50,108,173,109,172
51,109,172,110,171
52,110,171,111,170
53,111,170,112,169
54,112,169,29,30
55,61,62,120,177
56,120,177,119,178
57,119,178,118,179
58,118,179,117,180
59,117,180,116,181
60,116,181,115,182
61,115,182,114,183
62,114,183,113,184
63,113,184,31,32
64,59,60,121,192
65,121,192,122,191
66,122,191,123,190
67,123,190,124,189
68,124,189,125,188
69,125,188,126,187
70,126,187,127,186
71,127,186,128,185
72,128,185,33,34
73,57,58,136,193
74,136,193,135,194
75,135,194,134,195
76,134,195,133,196
77,133,196,132,197
78,132,197,131,198
79,131,198,130,199
80,130,199,129,200
81,129,200,35,36
82,55,56,53,54
83,53,54,51,52
84,51,52,49,50
85,49,50,47,48
86,47,48,45,46
87,45,46,43,44
88,43,44,41,42
89,41,42,39,40
90,39,40,37,38
91,1,2,71,72
92,71,72,69,70
93,69,70,67,68
94,67,68,65,66
95,65,66,63,64
96,63,64,61,62
97,61,62,59,60
98,59,60,57,58
99,57,58,55,56
100,3,4,73,144
101,73,144,88,145
102,88,145,89,160
103,89,160,104,161
104,104,161,105,176
105,105,176,120,177
106,120,177,121,192
107,121,192,136,193
108,136,193,53,54
109,5,6,74,143
110,74,143,87,146
111,87,146,90,159
112,90,159,103,162
113,103,162,106,175
114,106,175,119,178
115,119,178,122,191
116,122,191,135,194
117,135,194,51,52
118,7,8,75,142
119,75,142,86,147
120,86,147,91,158
121,91,158,102,163
122,102,163,107,174
123,107,174,118,179
124,118,179,123,190
125,123,190,134,195
126,134,195,49,50
127,9,10,76,141
128,76,141,85,148
129,85,148,92,157
130,92,157,101,164
131,101,164,108,173
132,108,173,117,180
133,117,180,124,189
134,124,189,133,196
135,133,196,47,48
136,11,12,77,140
137,77,140,84,149
138,84,149,93,156
139,93,156,100,165
140,100,165,109,172
141,109,172,116,181
142,116,181,125,188
143,125,188,132,197
144,132,197,45,46
145,13,14,78,139
146,78,139,83,150
147,83,150,94,155
148,94,155,99,166
149,99,166,110,171
150,110,171,115,182
151,115,182,126,187
152,126,187,131,198
153,131,198,43,44
154,15,16,79,138
155,79,138,82,151
156,82,151,95,154
157,95,154,98,167
158,98,167,111,170
159,111,170,114,183
160,114,183,127,186
161,127,186,130,199
162,130,199,41,42
163,17,18,80,137
164,80,137,81,152
165,81,152,96,153
166,96,153,97,168
167,97,168,112,169
168,112,169,113,184
169,113,184,128,185
170,128,185,129,200
171,129,200,39,40
172,19,20,21,22
173,21,22,23,24
174,23,24,25,26
175,25,26,27,28
176,27,28,29,30
177,29,30,31,32
178,31,32,33,34
179,33,34,35,36
180,35,36,37,38
181,1,71,73,3
182,71,69,88,73
183,69,67,89,88
184,67,65,104,89
185,65,63,105,104
186,63,61,120,105
187,61,59,121,120
188,59,57,136,121
189,57,55,53,136
190,3,73,74,5
191,73,88,87,74
192,88,89,90,87
193,89,104,103,90
194,104,105,106,103
195,105,120,119,106
196,120,121,122,119
197,121,136,135,122
198,136,53,51,135
199,5,74,75,7
200,74,87,86,75
201,87,90,91,86
202,90,103,102,91
203,103,106,107,102
204,106,119,118,107
205,119,122,123,118
206,122,135,134,123
207,135,51,49,134
208,7,75,76,9
209,75,86,85,76
210,86,91,92,85
211,91,102,101,92
212,102,107,108,101
213,107,118,117,108
214,118,123,124,117
215,123,134,133,124
216,134,49,47,133
217,9,76,77,11
218,76,85,84,77
219,85,92,93,84
220,92,101,100,93
221,101,108,109,100
222,108,117,116,109
223,117,124,125,116
224,124,133,132,125
225,133,47,45,132
226,11,77,78,13
227,77,84,83,78
228,84,93,94,83
229,93,100,99,94
230,100,109,110,99
231,109,116,115,110
232,116,125,126,115
233,125,132,131,126
234,132,45,43,131
235,13,78,79,15
236,78,83,82,79
237,83,94,95,82
238,94,99,98,95
239,99,110,111,98
240,110,115,114,111
241,115,126,127,114
242,126,131,130,127
243,131,43,41,130
244,15,79,80,17
245,79,82,81,80
246,82,95,96,81
247,95,98,97,96
248,98,111,112,97
249,111,114,113,112
250,114,127,128,113
251,127,130,129,128
252,130,41,39,129
253,17,80,21,19
254,80,81,23,21
255,81,96,25,23
256,96,97,27,25
257,97,112,29,27
258,112,113,31,29
259,113,128,33,31
260,128,129,35,33
261,129,39,37,35
262,2,72,144,4
263,72,70,145,144
264,70,68,160,145
265,68,66,161,160
266,66,64,176,161
267,64,62,177,176
268,62,60,192,177
269,60,58,193,192
270,58,56,54,193
271,4,144,143,6
272,144,145,146,143
273,145,160,159,146
274,160,161,162,159
275,161,176,175,162
276,176,177,178,175
277,177,192,191,178
278,192,193,194,191
279,193,54,52,194
280,6,143,142,8
